house_id,address,price,bed,bath,sqft,lot,latitude,longitude,house_link,image_1,image_2,map_link,google_map,created_date
86,"Austin St, Houston, TX 77587",189000,3,1,6700,6700,29.6573608,-95.2435648,https://www.realtor.com/realestateandhomes-detail/Austin-St_Houston_TX_77587_M99472-95011,https://ap.rdcpix.com/8145ba39365edc4375e499c53b72d72al-m2019771637od-w480_h360_x2.jpg,https://ap.rdcpix.com/8145ba39365edc4375e499c53b72d72al-m4158997996od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.6573608&mlon=-95.2435648#map=15/29.6573608/-95.2435648,"https://www.google.com/maps/place/Austin+St,+Houston,+TX+77587",2021-01-20 05:24:11.08602
554,"2B Cohn St, Houston, TX 77091",220000,3,2.5,NaN,3000,29.8604109,-95.4235768,https://www.realtor.com/realestateandhomes-detail/Cohn-St_Houston_TX_77091_M84692-44210,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2B%20Cohn%20St%2C%20Houston%2C%20TX%2077091&size=640x480&source=outdoor&signature=4-TFAndGdk395dqGsth0LEZpz10=,"",https://www.openstreetmap.org/?mlat=29.8604109&mlon=-95.4235768#map=15/29.8604109/-95.4235768,"https://www.google.com/maps/place/2B+Cohn+St,+Houston,+TX+77091",2021-01-20 05:55:28.76769
555,"17627 Coventry Oaks Dr, Houston, TX 77084",250000,4,2.5,2821,6529,29.8598205,-95.6767347,https://www.realtor.com/realestateandhomes-detail/17627-Coventry-Oaks-Dr_Houston_TX_77084_M80197-80901,https://ap.rdcpix.com/cb6e4b0da9d62b57de3c69af872438ecl-m1720488038od-w480_h360_x2.jpg,https://ap.rdcpix.com/cb6e4b0da9d62b57de3c69af872438ecl-m3364340348od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.8598205&mlon=-95.6767347#map=15/29.8598205/-95.6767347,"https://www.google.com/maps/place/17627+Coventry+Oaks+Dr,+Houston,+TX+77084",2021-01-20 05:55:28.905311
556,"9235 Kempwood Dr, Houston, TX 77080",258000,3,2,1520,8606,29.8213495,-95.519309,https://www.realtor.com/realestateandhomes-detail/9235-Kempwood-Dr_Houston_TX_77080_M83933-65677,https://ap.rdcpix.com/fd55c8dcf2f475b5d10c35a705a26becl-m1163344650od-w480_h360_x2.jpg,https://ap.rdcpix.com/fd55c8dcf2f475b5d10c35a705a26becl-m3830747152od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.8213495&mlon=-95.519309#map=15/29.8213495/-95.519309,"https://www.google.com/maps/place/9235+Kempwood+Dr,+Houston,+TX+77080",2021-01-20 05:55:29.042035
557,"4603 Tamarind Trl, Kingwood, TX 77345",299900,4,2,2418,8240,30.080554,-95.1790335,https://www.realtor.com/realestateandhomes-detail/4603-Tamarind-Trl_Humble_TX_77345_M88220-30738,https://ap.rdcpix.com/bb5460296723b321af8cd13875783facl-m2415273913od-w480_h360_x2.jpg,https://ap.rdcpix.com/bb5460296723b321af8cd13875783facl-m2968162026od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=30.080554&mlon=-95.1790335#map=15/30.080554/-95.1790335,"https://www.google.com/maps/place/4603+Tamarind+Trl,+Kingwood,+TX+77345",2021-01-20 05:55:29.18021
558,"8022 Ridgeview Dr, Houston, TX 77055",310000,4,3,1946,7630,29.8100976,-95.4907055,https://www.realtor.com/realestateandhomes-detail/8022-Ridgeview-Dr_Houston_TX_77055_M87750-28938,https://ap.rdcpix.com/69d3da50a707d34ea7f0ed568faa73eel-w723230858od-w480_h360_x2.jpg,https://ap.rdcpix.com/69d3da50a707d34ea7f0ed568faa73eel-w1292515231od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.8100976&mlon=-95.4907055#map=15/29.8100976/-95.4907055,"https://www.google.com/maps/place/8022+Ridgeview+Dr,+Houston,+TX+77055",2021-01-20 05:55:29.321432
559,"223 Broadhurst Dr, Houston, TX 77047",299000,5,2.5,2456,6930,29.6045116,-95.4161073,https://www.realtor.com/realestateandhomes-detail/Broadhurst-Dr_Houston_TX_77047_M71724-68314,https://ap.rdcpix.com/76e3ac2482d2a9096a63dca446442170l-m3765281980od-w480_h360_x2.jpg,https://ap.rdcpix.com/76e3ac2482d2a9096a63dca446442170l-m72595824od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.6045116&mlon=-95.4161073#map=15/29.6045116/-95.4161073,"https://www.google.com/maps/place/223+Broadhurst+Dr,+Houston,+TX+77047",2021-01-20 05:55:29.45976
560,"14602 Briton Cove Dr, Houston, TX 77084",170000,2,2,1322,4110,29.8674057,-95.6262653,https://www.realtor.com/realestateandhomes-detail/14602-Briton-Cove-Dr_Houston_TX_77084_M86945-66693,https://ap.rdcpix.com/b744c52f2bc974d606683a37fcd783b3l-m4085407869od-w480_h360_x2.jpg,https://ap.rdcpix.com/b744c52f2bc974d606683a37fcd783b3l-m3007272767od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.8674057&mlon=-95.6262653#map=15/29.8674057/-95.6262653,"https://www.google.com/maps/place/14602+Briton+Cove+Dr,+Houston,+TX+77084",2021-01-20 05:55:29.596773
1818,"15418 T C Jester Blvd, Houston, TX 77068",315000,4,3.5,2988,9906,30.00813,-95.4878172,https://www.realtor.com/realestateandhomes-detail/15418-T-C-Jester-Blvd_Houston_TX_77068_M74608-73938,https://ap.rdcpix.com/2ef6943904dfe8d3d09e17a4fc5224a3l-m3228091672od-w480_h360_x2.jpg,https://ap.rdcpix.com/2ef6943904dfe8d3d09e17a4fc5224a3l-m2499276682od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=30.00813&mlon=-95.4878172#map=15/30.00813/-95.4878172,"https://www.google.com/maps/place/15418+T+C+Jester+Blvd,+Houston,+TX+77068",2021-04-11 23:36:30.371007
1819,"7515 Gold Dust Ln, Houston, TX 77064",224900,4,2.5,2451,6299,29.9051483,-95.5055792,https://www.realtor.com/realestateandhomes-detail/7515-Gold-Dust-Ln_Houston_TX_77064_M74098-71964,https://ap.rdcpix.com/7fd34b07da9d3d278ca30033c3ff8156l-m2349663270od-w480_h360_x2.jpg,https://ap.rdcpix.com/7fd34b07da9d3d278ca30033c3ff8156l-m1239815918od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.9051483&mlon=-95.5055792#map=15/29.9051483/-95.5055792,"https://www.google.com/maps/place/7515+Gold+Dust+Ln,+Houston,+TX+77064",2021-04-11 23:36:30.517284
1822,"6327 Goforth St, Houston, TX 77021",159900,3,2,1624,5001,29.6955181,-95.3534159,https://www.realtor.com/realestateandhomes-detail/6327-Goforth-St_Houston_TX_77021_M84671-71838,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=6327%20Goforth%20St%2C%20Houston%2C%20TX%2077021&size=640x480&source=outdoor&signature=cyrMXpUcgxeXTzyVCqDkz8rpkVE=,"",https://www.openstreetmap.org/?mlat=29.6955181&mlon=-95.3534159#map=15/29.6955181/-95.3534159,"https://www.google.com/maps/place/6327+Goforth+St,+Houston,+TX+77021",2021-04-11 23:36:30.951724
1828,"3131 Sunnydale Dr, Houston, TX 77051",305000,4,2.5,1844,5001,29.64235,-95.37727,https://www.realtor.com/realestateandhomes-detail/3131-Sunnydale-Dr_Houston_TX_77051_M76139-22595,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3131%20Sunnydale%20Dr%2C%20Houston%2C%20TX%2077051&size=640x480&source=outdoor&signature=1LXcF4E7HTDv6DQ6xcvljlzsviQ=,"",https://www.openstreetmap.org/?mlat=29.64235&mlon=-95.37727#map=15/29.64235/-95.37727,"https://www.google.com/maps/place/3131+Sunnydale+Dr,+Houston,+TX+77051",2021-04-11 23:36:31.81758
1834,"3727 Ripplebrook Dr, Houston, TX 77045",155000,4,2,1500,6090,29.6260249,-95.433213,https://www.realtor.com/realestateandhomes-detail/3727-Ripplebrook-Dr_Houston_TX_77045_M75660-41363,https://ap.rdcpix.com/b2c74f5b94d7d2e54768fa9ac1304f18l-m2700468225od-w480_h360_x2.jpg,https://ap.rdcpix.com/b2c74f5b94d7d2e54768fa9ac1304f18l-m3022564064od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.6260249&mlon=-95.433213#map=15/29.6260249/-95.433213,"https://www.google.com/maps/place/3727+Ripplebrook+Dr,+Houston,+TX+77045",2021-04-11 23:36:32.706508
1835,"6623 England St, Houston, TX 77021",317000,3,2.5,1827,5001,29.692997,-95.356296,https://www.realtor.com/realestateandhomes-detail/6627-England-St_Houston_TX_77021_M78565-43477,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=6623%20England%20St%2C%20Houston%2C%20TX%2077021&size=640x480&source=outdoor&signature=UnlFp49kyOh666J1Pxez9hPujyY=,"",https://www.openstreetmap.org/?mlat=29.692997&mlon=-95.356296#map=15/29.692997/-95.356296,"https://www.google.com/maps/place/6623+England+St,+Houston,+TX+77021",2021-04-11 23:36:32.875811
