house_id,address,price,bed,bath,sqft,lot,latitude,longitude,house_link,image_1,image_2,map_link,google_map,created_date
1834,"10139 Metronome Dr, Houston, TX 77080",349000.0,4.0,2.0,1983.0,7414.0,29.8072186,-95.5435798,https://www.realtor.com/realestateandhomes-detail/10139-Metronome-Dr_Houston_TX_77080_M77159-45374,https://ap.rdcpix.com/d7e8613fc2b914aee86fe540e6e0c48dl-m2401130865od-w480_h360_x2.jpg,https://ap.rdcpix.com/d7e8613fc2b914aee86fe540e6e0c48dl-m236825962od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.8072186&mlon=-95.5435798#map=15/29.8072186/-95.5435798,"https://www.google.com/maps/place/10139+Metronome+Dr,+Houston,+TX+77080",2021-04-11 23:36:30.082000
1835,"14231 Valverde Point Ln, Houston, TX 77083",318113.0,4.0,2.5,1990.0,,29.6950479,-95.6362667,https://www.realtor.com/realestateandhomes-detail/14231-Valverde-Point-Ln_Houston_TX_77083_M99285-06870,https://ap.rdcpix.com/3c1a1eaf92745900df85ebd69866b560l-m4178801136od-w480_h360_x2.jpg,https://ap.rdcpix.com/3c1a1eaf92745900df85ebd69866b560l-m2211567403od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.6950479&mlon=-95.6362667#map=15/29.6950479/-95.6362667,"https://www.google.com/maps/place/14231+Valverde+Point+Ln,+Houston,+TX+77083",2021-04-11 23:36:30.226000
1836,"14223 Valverde Point Ln, Houston, TX 77083",318669.0,4.0,2.5,1990.0,,29.6950479,-95.6362667,https://www.realtor.com/realestateandhomes-detail/14223-Valverde-Point-Pl_Houston_TX_77083_M96341-18515,https://ap.rdcpix.com/698c0ea3ec276ed686c89dde82716e2el-m2479262962od-w480_h360_x2.jpg,https://ap.rdcpix.com/698c0ea3ec276ed686c89dde82716e2el-m2358027162od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.6950479&mlon=-95.6362667#map=15/29.6950479/-95.6362667,"https://www.google.com/maps/place/14223+Valverde+Point+Ln,+Houston,+TX+77083",2021-04-11 23:36:30.663000
1837,"5028 Jonina Ln, Houston, TX 77048",253995.0,3.0,2.0,1585.0,,29.7202054,-95.2795136,https://www.realtor.com/realestateandhomes-detail/5028-Jonina-Ln_Houston_TX_77048_M94944-14431,https://ap.rdcpix.com/d602aa478c19a9e9ee85f5c2d48c1642l-m200618953od-w480_h360_x2.jpg,https://ap.rdcpix.com/d602aa478c19a9e9ee85f5c2d48c1642l-m200618953od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.7202054&mlon=-95.2795136#map=15/29.7202054/-95.2795136,"https://www.google.com/maps/place/5028+Jonina+Ln,+Houston,+TX+77048",2021-04-11 23:36:30.808000
1838,"14235 Valverde Point Ln, Houston, TX 77083",324152.0,3.0,2.5,1990.0,,29.6950479,-95.6362667,https://www.realtor.com/realestateandhomes-detail/14235-Valverde-Point-Ln_Houston_TX_77083_M90763-78840,https://ap.rdcpix.com/f01449fb394900bf57d78396358185c2l-m3152873585od-w480_h360_x2.jpg,https://ap.rdcpix.com/f01449fb394900bf57d78396358185c2l-m2358027162od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.6950479&mlon=-95.6362667#map=15/29.6950479/-95.6362667,"https://www.google.com/maps/place/14235+Valverde+Point+Ln,+Houston,+TX+77083",2021-04-11 23:36:31.095000
1839,"12803 Dove Brook Ct, Houston, TX 77041",290000.0,3.0,2.5,2733.0,9862.0,29.8591427,-95.6001548,https://www.realtor.com/realestateandhomes-detail/12803-Dove-Brook-Ct_Houston_TX_77041_M84314-95033,https://ap.rdcpix.com/c34351208de544f1ec06172c75956ff0l-m2225152083od-w480_h360_x2.jpg,https://ap.rdcpix.com/c34351208de544f1ec06172c75956ff0l-m4121454477od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.8591427&mlon=-95.6001548#map=15/29.8591427/-95.6001548,"https://www.google.com/maps/place/12803+Dove+Brook+Ct,+Houston,+TX+77041",2021-04-11 23:36:31.240000
1840,"1810 Northwood St, Houston, TX 77009",300000.0,3.0,1.0,1056.0,5510.0,29.807176,-95.3784353,https://www.realtor.com/realestateandhomes-detail/1810-Northwood-St_Houston_TX_77009_M87130-26633,https://ap.rdcpix.com/b685df78a736b76a5301b4aea0ee73b6l-m1934030576od-w480_h360_x2.jpg,https://ap.rdcpix.com/b685df78a736b76a5301b4aea0ee73b6l-m4249629750od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.807176&mlon=-95.3784353#map=15/29.807176/-95.3784353,"https://www.google.com/maps/place/1810+Northwood+St,+Houston,+TX+77009",2021-04-11 23:36:31.385000
1841,"405 Mystic Glen Loop, Houston, TX 77339",235000.0,4.0,2.5,2410.0,5227.0,30.0363959,-95.2490613,https://www.realtor.com/realestateandhomes-detail/405-Mystic-Glen-Loop_Humble_TX_77339_M70550-17436,https://ap.rdcpix.com/f65d525565d0f7f8cab8bdb43c86658dl-m2612534611od-w480_h360_x2.jpg,https://ap.rdcpix.com/f65d525565d0f7f8cab8bdb43c86658dl-m417225021od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=30.0363959&mlon=-95.2490613#map=15/30.0363959/-95.2490613,"https://www.google.com/maps/place/405+Mystic+Glen+Loop,+Houston,+TX+77339",2021-04-11 23:36:31.528000
1842,"626 Hollandbridge Ln, Houston, TX 77073",179500.0,3.0,2.0,1460.0,4800.0,30.0141884,-95.419002,https://www.realtor.com/realestateandhomes-detail/626-Hollandbridge-Ln_Houston_TX_77073_M84734-80667,https://ap.rdcpix.com/f2028e966bc2745d2ee07cbea18587e4l-m745935874od-w480_h360_x2.jpg,https://ap.rdcpix.com/f2028e966bc2745d2ee07cbea18587e4l-m3581478750od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=30.0141884&mlon=-95.419002#map=15/30.0141884/-95.419002,"https://www.google.com/maps/place/626+Hollandbridge+Ln,+Houston,+TX+77073",2021-04-11 23:36:31.672000
1843,"14227 Valverde Point Ln, Houston, TX 77083",324478.0,4.0,3.0,2035.0,,29.6950479,-95.6362667,https://www.realtor.com/realestateandhomes-detail/14227-Valverde-Point-Ln_Houston_TX_77083_M92871-46856,https://ap.rdcpix.com/658d0364667bcd89e2885185e9d85669l-m4221321896od-w480_h360_x2.jpg,https://ap.rdcpix.com/658d0364667bcd89e2885185e9d85669l-m3060248548od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.6950479&mlon=-95.6362667#map=15/29.6950479/-95.6362667,"https://www.google.com/maps/place/14227+Valverde+Point+Ln,+Houston,+TX+77083",2021-04-11 23:36:31.961000
